,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
6240,558,0,1,27,1,152283.39,1,1,0,183271.15
5830,684,1,1,37,4,138476.41,2,1,1,52367.29
2113,738,1,1,35,6,101744.84,1,0,0,85185.44
688,625,0,0,51,7,136294.97,1,1,0,38867.46
8568,615,0,1,64,0,81564.1,2,0,1,35896.09
4832,617,0,0,79,7,0.0,1,1,1,160589.18
8391,619,1,1,38,10,84651.79,1,1,1,184754.26
918,784,2,1,35,3,0.0,2,0,0,81483.64
8017,459,1,1,50,5,109387.9,1,1,0,155721.15
2341,717,0,0,25,7,108664.85,2,1,0,190011.85
3647,729,0,1,67,2,94203.8,1,0,1,102391.06
4609,581,2,1,34,1,0.0,2,0,1,81175.25
2408,653,2,1,55,7,0.0,2,1,1,41967.03
9731,607,1,1,29,7,102609.0,1,1,0,163257.44
974,730,0,1,34,5,122453.37,2,1,0,138882.98
4431,616,1,0,42,6,117899.95,2,0,0,150266.81
4590,635,0,0,78,6,47536.4,1,1,1,119400.08
7896,635,2,1,41,1,0.0,2,1,0,175611.5
4661,780,0,0,43,0,0.0,1,0,1,15705.27
6432,615,1,0,33,3,137657.25,2,1,1,171657.57
6632,694,2,1,31,5,0.0,1,1,0,35593.18
1780,802,0,1,33,8,0.0,2,1,0,143706.18
63,684,2,1,56,8,78707.16,1,1,1,99398.36
407,611,2,0,37,4,0.0,2,1,0,125696.26
227,547,1,0,39,6,74596.15,3,1,1,85746.52
8730,764,0,1,30,5,0.0,2,0,1,105155.66
8468,678,2,0,27,5,87099.85,2,1,0,149550.95
4630,489,1,1,38,2,126444.08,2,1,1,82662.73
8642,499,1,0,44,6,77627.33,2,1,0,108222.68
7936,468,0,1,22,2,0.0,2,1,0,28123.99
3591,769,0,1,29,2,123757.52,2,1,0,84872.66
1802,683,2,0,24,8,98567.1,1,1,0,187987.01
2896,782,0,0,33,2,94493.03,1,0,1,101866.39
2089,679,0,0,33,1,0.0,2,0,0,69608.48
5148,731,2,1,70,3,0.0,2,1,1,141180.66
9645,695,0,0,31,5,106089.2,1,0,0,99537.68
7781,705,0,1,34,7,117715.84,1,1,0,2498.67
1256,733,0,1,42,9,120094.93,1,1,0,184056.45
7136,826,0,0,49,0,0.0,1,0,0,178709.98
3288,640,0,0,30,6,107499.7,1,1,1,187632.22
5614,512,2,0,46,3,0.0,2,1,1,56408.14
4415,764,0,0,24,0,0.0,2,1,0,88724.49
564,689,2,0,38,6,121021.05,1,1,1,12182.15
3901,575,2,1,30,2,0.0,2,1,1,82222.86
8457,541,0,1,32,8,0.0,2,0,0,40889.14
6940,575,0,1,46,1,0.0,2,1,1,65998.26
7130,599,1,1,33,2,51949.95,2,1,0,85045.92
7704,786,2,0,34,9,0.0,2,1,0,117034.32
3376,644,1,0,40,4,77270.08,2,1,1,115800.1
9044,560,2,1,47,1,0.0,1,0,0,128882.66
8386,708,0,1,41,0,0.0,1,1,0,128400.62
3985,691,0,1,24,6,0.0,2,1,1,92811.2
5349,684,1,1,32,3,102630.13,2,1,1,127433.47
409,537,1,0,41,3,138306.34,1,1,0,106761.47
8431,628,1,1,33,8,152143.89,1,1,1,32174.03
1890,731,0,1,33,4,0.0,2,1,1,74945.11
5543,710,0,1,38,3,130588.82,1,1,1,154997.64
7323,742,2,1,24,8,0.0,2,1,0,4070.28
7116,588,1,1,49,6,132623.76,3,1,0,36292.94
1859,684,0,1,34,9,0.0,2,1,1,65257.57
8466,613,0,1,36,9,131307.11,1,0,0,83343.73
3633,827,1,0,47,8,143001.5,2,1,0,108977.5
9591,708,2,1,40,8,83015.71,1,1,0,101089.76
369,593,0,0,29,2,152265.43,1,1,0,34004.44
3580,639,1,0,41,5,98635.77,1,1,0,199970.74
1498,595,1,0,25,7,106570.34,2,0,1,177025.79
7784,741,0,0,64,2,69311.16,1,1,1,59237.72
7587,594,2,0,38,7,96858.35,1,1,0,77511.45
3235,684,2,1,34,9,100628.0,2,1,1,190263.78
9494,789,1,1,43,8,119654.44,2,0,1,148412.24
5329,620,0,1,41,3,0.0,2,1,1,137309.06
5491,580,1,0,36,6,145387.32,2,1,1,169963.2
4067,565,1,0,32,4,90322.99,2,0,1,118740.37
8774,452,0,0,33,6,131698.57,2,1,0,151623.91
2657,562,0,1,29,9,0.0,1,1,1,25858.68
6405,509,2,1,41,7,126683.8,1,0,1,114775.53
5271,721,1,1,40,6,100275.88,1,1,0,138564.48
7063,580,1,1,76,2,130334.84,2,1,1,51672.08
8217,605,1,1,75,2,61319.63,1,0,1,186655.11
596,685,2,1,43,9,0.0,2,1,0,107811.28
5307,534,0,0,49,7,0.0,1,1,0,13566.48
8794,706,2,0,29,1,209490.21,1,1,1,133267.69
1984,531,2,0,45,1,126495.57,2,1,1,164741.5
9704,625,0,1,22,9,0.0,2,1,0,157072.91
7247,582,1,0,40,3,110150.43,1,1,1,191757.65
3155,641,2,1,32,7,0.0,2,1,1,24267.28
1452,687,0,0,35,3,99587.43,1,1,1,1713.1
8748,655,1,0,44,6,146498.76,1,1,0,64853.51
